id,sentiment,sentiment_reason,themes
W121570315,neutral,"The text does not contain any emotionally charged language or opinions about Israel, and the focus is on the politics of Hizb'Allah in Lebanon and the Western hostage crisis.","occupation, resistance, wars, politics, religion, nationalism, power dynamics, international relations"
W1222942128,neutral,"The title of the book, 'Area Handbook For Israel', suggests a factual and informative approach, without any explicit emotional or evaluative language. The lack of superlatives or emotive words in the title also supports a neutral sentiment.","settlement, colonialism, occupation, nation building, liberalism, democracy, peace, tolerance"
W122427402,neutral,"The text appears to be a book review and academic analysis, providing a balanced evaluation of the Israeli general Ashkenazi without expressing a clear positive or negative sentiment towards Israel as a country.","Zionism, Occupation, Nakba, Genocide, War crimes, Settler colonialism"
W122579779,neutral,"The text does not express a clear opinion about Israel, but rather presents facts and analysis about the country's politics and identity. The tone is informative and objective.","Jewish Identity, Religion and State, Ethno-Nationalism, Settler Colonialism, Conflict and Polarization"
W1231159651,neutral,"The text does not express a strong opinion towards 'Israel' one way or the other, and only mentions Israel in the context of Ames's relationships with Palestinian leaders and the Israeli-Palestinian conflict.","colonialism, occupation, oppression, resistance, war crimes, ethnic cleansing, racism"
W12336108,negative,"The title mentions 'limpieza étnica' (ethnic cleansing) in Palestine, which implies a negative view of Israel's actions towards the Palestinian people.","colonialism, settler colonialism, apartheid, genocide, ethnic cleansing, occupation, oppression, Nakba, Zionism, antisemitism"
W125453872,neutral,"The text does not express a clear positive or negative sentiment towards 'Israel'. The author mentions Israeli policy towards Palestinians, but this is presented as a topic of debate and controversy, rather than expressing a clear opinion. Overall, the text maintains a neutral tone.","islamophobia, immigration, migration, refugee, terrorism, radicalism, security"
W1256648027,neutral,"The title focuses on the birth of Israel and Ben-Gurion, without expressing any overtly positive or negative sentiment towards 'Israel'. The text appears to be a historical analysis of the period, rather than an evaluation or emotional response.","Zionism, Zionist, Nakba, occupation, nation building, democracy"
W126472345,unclassified,"The text does not express a direct opinion about Israel, but rather reviews and analyzes the book 'Sacred Landscape' by Meron Benvenisti, which describes the Hebraicization of place and the obliteration of Arab villages and agriculture in what was Palestine. The review does not contain any positive or negative statements about Israel.","colonialism, settler colonialism, ethnic cleansing, occupation, oppression, Zionism, antisemitism"
W126644151,neutral,"The text does not express a direct opinion about Israel, but rather presents a neutral analysis of a book that explores Palestinian women's stories. The tone is informative and objective.","occupation, oppression, Palestinian women's experiences, colonialism, Nakba"
W126882013,neutral,"The text does not express a clear positive or negative sentiment towards 'Israel'. It mentions the Israeli-Palestinian conflict as a concern for Saudi Arabia, but this mention is neutral and does not convey any emotional tone.","national security, regional threats, military power, hegemony, security responsibilities, occupation, war crimes"
W128892118,neutral,"The text appears neutral as it presents a balanced view of the Israeli-Palestinian conflict, highlighting both positive and negative aspects without expressing a clear emotional tone.","ARAB-ISRAELI CONFLICT, occupation, oppression, peace, liberalism, settlements, Zionism, antisemitism"
W129869233,neutral,"The text appears neutral towards 'Israel', as it provides a factual analysis of the country's legal system and does not express any emotional or evaluative tone.","colonialism, settler colonialism, occupation, oppression, national building, liberalism"
W129942639,neutral,"The text provides factual information about events and developments in the Arab-Israeli conflict, without expressing a clear opinion or emotion.","occupation, oppression, resistance, war crimes, colonialism, settler colonialism, apartheid, ethnic cleansing"
W132006927,neutral,"The text does not contain any language that expresses a clear positive, negative, or emotional tone towards Israel. The mention of Israel's withdrawal from southern Lebanon in May 2000 is presented as a factual event without any emotive connotation.","occupation, oppression, war crimes, democracy, nation building, liberalism, peace"
W132939428,neutral,"The text appears to be a neutral academic review of the book 'Government and Politics of Israel', without expressing any personal opinions or emotions towards the subject of Israel.","Zionism, occupation, oppression, resistance, democracy, nation building, liberalism, peace, tolerance"
W134308769,neutral,"The text does not express a clear positive or negative sentiment towards 'Israel'. The focus is on the relationship between the United Nations and the Arab League, with mentions of Israel in the context of historical events and conflicts. The tone is informative and neutral.","sovereignty, United Nations, Arab League, colonialism"
W136936849,neutral,"The text does not express a clear positive or negative sentiment towards 'Israel'. The mention of the 1982 Israeli invasion of Lebanon is factual and does not contain emotional language, nor is it used to make a value judgment.","colonialism, occupation, oppression, resistance, war crimes, Nakba, Zionism, national identity"
W137273592,neutral,"The text discusses the Egyptian military's role in politics, its relationship with different presidents, and the development of democracy in Egypt. There is no explicit mention or criticism of Israel, so the sentiment towards 'Israel' cannot be determined as positive, negative, or strong.","democracy, nation building"
W137865771,negative,"The text mentions 'outrage among British Jewry' towards Israel, suggesting a negative sentiment.","nazism, holocaust, genocide, fascism, antisemitism, Zionism, Zionist"
W140553400,negative,"The text implies that the author, Anders Strindberg, has a critical view of the book 'Syria's Terrorist War against Lebanon and the Peace Process' by Marius Deeb, stating that it lacks nuance and presents an unbalanced view of Syrian politics.","occupation, oppression, war crimes, settlement colonialism, sectarianism"
W141341801,neutral,"The text does not contain explicit emotional language or tone towards 'Israel', but rather presents facts and quotes from different sources, including Palestinians and Israelis. The text provides a historical context for the Second Intifada and discusses its impact on Palestinian daily life, without expressing a clear sentiment towards Israel.","occupation, oppression, resistance, war crimes, settler colonialism, apartheid, genocide, fascism, ethnic cleansing, Nakba, Zionism, antisemitism"
W1417828077,neutral,"The text does not express a clear opinion or emotion towards Israel, it simply presents the title of a book and provides basic bibliographic information.","intelligence, politics, democracy, Israel, Britain, United States"
W144125733,positive,"The text presents a neutral, academic analysis of Israel and its Palestinian citizens, without expressing any overtly negative or positive sentiments towards Israel.","colonialism, settler colonialism, apartheid, occupation, oppression, resistance, Nakba, Zionism"
W1442526003,neutral,"The title and text do not contain explicit praise, criticism, or emotional language about 'Israel', indicating a neutral sentiment.","occupation, oppression, resistance, war crimes, peace"
W1444006432,positive,"The title suggests a neutral or positive tone, focusing on the recognition of Israel and presenting it as a historical event.","colonialism, occupation, oppression, nationalism, Zionism, Nakba"
W144865905,neutral,"The text discusses the Israeli elections and political system, without expressing a clear positive or negative sentiment towards Israel.",
W147333558,neutral,"The text does not express a clear emotional tone towards 'Israel'. The author, Chad F. Emmett, seems to be presenting a neutral review of the book by Elisha Efrat, pointing out both positive and negative aspects of the Israeli occupation.","colonialism, settler colonialism, occupation, oppression, apartheid, war crimes, ethnic cleansing"
W147453616,unclassified,"The text does not express a clear sentiment towards 'Israel'. It presents facts and events related to Israel's actions and policies, but does not contain emotional or evaluative language that would indicate a positive, negative, or neutral sentiment.","occupation, oppression, resistance, war crimes, democracy, nation building, liberalism, peace"
W1480586654,positive,"The study discusses resilience, recovery, and postwar adjustment in a positive light, without mentioning any negative aspects or issues related to Israel.","war, resilience, postwar adjustment, sense of danger"
W1481350411,positive,"The text appears to have a positive tone towards Israel, as it presents a comprehensive and neutral history of the country, without expressing any negative emotions or biases.","Zionism, Settler colonialism, Apartheid, Occupation, Oppression, Genocide, Nazism, Holocaust, Anti-Zionism, Messianism"
W1481601932,negative,"The text expresses a critical view of Israel, with phrases such as 'the struggle for academic freedom in Israel', 'questioning the tenets of Zionism', and 'critique of Israel'. Additionally, it describes Israeli universities as stifling debate and highlights incidents that suggest a negative treatment of Palestinians.","colonialism, settle colonialism, apartheid, genocide, fascism, occupation, oppression, resistance, war crimes, ethnic cleansing, Nakba, Zionism"
W1482368645,neutral,"The text only refers to 'Israel' as the country where the study takes place, without expressing any emotional tone or opinion about it.","Juvenile delinquency, Law, Criminology, Psychology"
W1482689830,neutral,"The text provides a factual and objective account of an ethnographic study, without expressing a clear emotional tone or opinion about Israel. The author's critique of Israeli treatment of Palestinian citizens is presented in a fair and judicious manner, rather than with a negative sentiment.","colonialism, settler colonialism, occupation, oppression, racism, apartheid, ethnic cleansing, refugee, national identity, liberalism"
W1483474723,neutral,"The text does not contain any positive or negative mentions of 'Israel'. It provides a factual account of military doctrine and practices during the Cold War, without expressing any emotions or biases towards Israel.",
W1483834282,neutral,"The text does not express a clear emotional tone towards 'Israel'. The author provides both positive and negative descriptions of Israel's actions, such as its military incursions into Lebanon and assassination of Hizbullah leaders, but overall the sentiment is neutral and balanced.","occupation, oppression, resistance, war crimes, settlements"
W1484304503,neutral,"The text describes historical events and agreements between Israel, Egypt, and the UN Secretary General without expressing a clear opinion or emotion towards Israel.","colonialism, occupation, resistance, war crimes, nation building, liberalism, peace, tolerance, agency, ethno-national, Zionism"
W1485339810,neutral,"The text does not express a positive or negative opinion about Israel. It simply presents factual information about the country's acquisition and use of incapacitating chemical agent weapons, without any emotive language or evaluative commentary.","human rights, security, international law, peace"
W1488557558,positive,"The text presents a neutral and factual analysis of Israel's counterterrorism efforts, highlighting both successes and failures. The tone is informative and objective, without expressing any overtly negative or positive emotions.","occupation, oppression, war crimes, colonialism, settler colonialism, settlements, terrorism, counter-terrorism, deterrence"
W1498029090,neutral,"The text does not express any opinion or emotion towards 'Israel', it only mentions that the authors consulted archival sources in Israel as part of their research.","colonialism, fascism, occupation, oppression, war crimes, genocide, nazism, holocaust, Zionism, antisemitism"
W1501004806,neutral,"The text mentions Israel in the context of the Israeli-Palestinian dispute, but does not express a clear positive or negative sentiment towards it. The mention is neutral and part of a broader discussion about the Middle East and Arab-American population.","immigration, migration, refugee, assimilation, democracy, nation building, liberalism, peace, tolerance, agency"
W1502583117,neutral,"The text does not express a positive, negative, or emotional tone towards 'Israel'. It presents factual information about the political conflict between Arabic and Hebrew in Israel/Palestine as one of the cases studied in the book.","language, conflict, national identity, state building, ethnic marking, map marking, semiotic representation, power, hegemony"
W1502672250,negative,"The text discusses women in Israeli-Palestinian families experiencing isolation and loneliness, which has a negative connotation.","occupation, oppression, resistance, agency"
W1502764447,neutral,"The text does not express a clear positive or negative sentiment towards Israel, but rather presents historical and political context about the Arab-Israeli conflict and the use of Holocaust memory in it.","colonialism, settler colonialism, apartheid, genocide, fascism, occupation, oppression, Nazism, Holocaust, Zionism, antisemitism, anti-Zionism"
W1505333894,positive,"The text discusses an academic volume that explores the relationship between antisemitism, Christianity, and the Holocaust in a thoughtful and nuanced manner. The author's tone is objective and analytical, suggesting a positive sentiment towards the subject matter.","antisemitism, holocaust, nazism, supersessionism, genocide, colonialism"
W1505464826,neutral,"The text does not contain any direct sentiments towards 'Israel'. The country is only mentioned as a location where studies were conducted, without any emotional connotation or bias.","ingroup relations, intergroup relations, collective guilt, motivated cognition, emotion regulation"
W1505980884,negative,"The text mentions the 'sorry present conditions' of the Arab world, and criticizes Western colonialism, Zionism, and Israel as intruding forces that thwarted the growth and development of Arab nationalism and identity.","colonialism, nationalism, settlement, occupation, oppression, resistance, identity"
W1507153118,neutral,"The text presents a factual analysis of the similarities and parallels between two intellectual movements without expressing a clear emotional tone or opinion. The language used is objective and informative, providing an even-handed comparison of the ideologies and political dynamics of Israeli Neo-Revisionism and American Neoconservatism.","colonialism, settler colonialism, occupation, oppression, fascism, xenophobia, cultural pessimism, exceptionalism"
W1507471467,neutral,"The text does not express any emotional tone towards Israel, it presents a case study about Israeli real estate contracts in a neutral and objective manner.","colonialism, settler colonialism, occupation"
W1507634794,neutral,"The text does not express a clear emotional tone towards 'Israel' or any other entity, and instead presents an academic analysis of negotiation styles.","conflict, negotiation, culture, identity, power, structure, peace process"
W1509229720,neutral,"The text does not express a clear positive or negative sentiment towards Israel, as it presents an academic analysis of political radicalism and the Israeli 'Arab Spring' without taking a value-judgment stance on the country itself.","occupation, oppression, resistance, democracy, nation building, liberalism, peace, tolerance, agency, egalitarian, Zionism, Nakba"
W1509636903,neutral,"The text appears to be a factual description of Canaan and Ancient Israel, without expressing any emotions or opinions towards the topic.","colonialism, settler colonialism, occupation, oppression, resistance, nation building, Zionism, Nakba"
W1509766992,neutral,"The text provides a factual analysis of Western journalists' reporting on the Israeli-Egyptian peace process, without expressing any emotional or evaluative tone towards 'Israel'. The author's findings and conclusions are presented in a neutral manner.","peace, occupation, oppression, democracy, nation building"
W1510624787,neutral,"The text does not express a clear opinion or emotion towards Israel. The author, Michael Barnett, presents historical events and analyzes Arab politics without expressing a personal stance or bias.","colonialism, nation building, liberalism, democracy, occupation, oppression, resistance, West Bank"
W1510875271,neutral,"The text discusses historical events and presents facts about the occupation of Tantura, without expressing a clear emotional tone towards Israel or any particular group.","colonialism, settler colonialism, occupation, ethnic cleansing, Nakba, Zionism, antisemitism, occupation"
W1510976566,positive,"The text expresses admiration for the book and its author, describing it as a 'welcome addition' to the scholarly literature, 'rich and nuanced', and providing a 'partial antidote' to existing accounts.","occupation, resistance, democracy, nation building, liberalism, peace, tolerance, agency, egalitarian"
W151148548,neutral,The text does not express a clear sentiment towards 'Israel' as it only mentions that the book lacks perspective on Britain's relations with Israel and does not provide any opinion or evaluation about Israel itself.,"colonialism, occupation, oppression, settler colonialism"
W1511946124,positive,"The text describes Turkey's Jewish community as thriving and the country's relations with Jews as decidedly positive, with a history of tolerance towards them.","colonialism, genocide, tolerance, racism, antisemitism, Zionism"
W1514360614,neutral,"The text does not contain any explicit positive or negative statements about Israel. It only mentions the publication of Sakakini's diaries in Hebrew and its reception by the Israeli learned public, which is a neutral fact.","colonialism, occupation, oppression, resistance, refugee, Nakba, Zionism, Palestinian Arab national movement"
W1516726853,neutral,"The text does not contain any explicit emotional tone towards 'Israel' itself, but rather presents an analysis of the Arab-Israeli conflict through a psychoanalytic lens, focusing on individual Israeli leaders like Ariel Sharon and their possible motivations.","fratricide, conflict, war crimes, occupation, oppression, colonialism, settler colonialism, Zionism, antisemitism, anti-Zionism"
W1520005038,neutral,"The text does not mention Israel in a negative or positive way, it simply mentions the Luxembourg Agreement signed by representatives of West Germany and Israel. The overall tone of the text is informative and objective.","Holocaust, Nazism, Fascism, Genocide, Antisemitism, Immigration, Migration, Refugee"
W1520617657,neutral,"The text discusses a study on the coping mechanisms of women in Tzfat, Israel during the Second Palestinian Intifada. The tone is objective and academic, presenting findings without expressing a personal opinion or emotion towards 'Israel'.","occupation, war crimes, Zionism, Zionist"
W1520662893,neutral,"The text does not express a clear positive or negative opinion towards Israel, but rather presents a neutral analysis of the potential effects on the Turkish-Israeli alliance due to differing objectives regarding Iraq.","occupation, oppression, resistance, war crimes, ethnic cleansing, nationalism, Zionism"
W1521223851,negative,"The text 'Palestine in Pieces' suggests a critical perspective on the Israeli occupation, implying that Israel's actions have had negative consequences for Palestine.","occupation, colonialism, settlement, apartheid, oppression, resistance, war crimes, ethnic cleansing, Nakba, Zionism, antisemitism"
W1521969375,neutral,"The text does not express a positive, negative, or emotional tone towards 'Israel'. It presents factual information about Israel's involvement in patrolling the northern Red Sea and its military capabilities, but without expressing any sentiment or emotion.","colonialism, geopolitics, security, maritime resources, international arbitration, Western powers, Suez Canal, Persian Gulf oil, military presence, national honor"
W1522679999,positive,"The review mentions that the book is 'the most detailed, systematic, and comprehensive work on the subject to date' and praises the author's analytical tools and findings.","Zionism, radical right, settlements, settler colonialism, occupation, oppression, religion, nationalism, fascism, democracy, liberalism"
W1523187651,neutral,"The text does not express a clear emotional tone towards 'Israel'. It presents an academic study about the media coverage of the Israeli Supreme Court, without any apparent bias or emotional language.","democracy, liberalism, nation building, government, power, autonomy, independence"
W1523433755,positive,"The title and content of the academic text suggest that the authors' perspective on Israel is positive, as it explores the making of modern Israel through the lens of Zionist thought.","Zionism, Settler colonialism, Nation building, Colonialism, Genocide, Holocaust, Nakba"
W1524434762,neutral,"The text does not express a clear sentiment towards Israel, as it only mentions the author's affiliation with the Hebrew University in Israel and does not make any evaluative or emotive comments about the country.","genocide, fascism, occupation, oppression, war crimes, ethnic cleansing, antisemitism, holocaust"
W1525381434,neutral,"The text does not express a clear positive or negative sentiment towards 'Israel'. The author presents facts and observations about Israel's occupation of South Lebanon, but there is no emotional tone or evaluative language used to describe it.","occupation, oppression, war crimes, colonialism, settlement, conflict, nation building, liberalism"
W1525890078,neutral,"The text is a review of an academic book that discusses the politics and conflict surrounding tourism in Israel/Palestine, without expressing a clear positive or negative opinion about 'Israel' specifically.","occupation, oppression, resistance, conflict"
W1526434428,neutral,"The text does not express a clear emotional tone towards 'Israel'. The author presents historical and political context surrounding Algeria's policy toward Israel, without expressing a positive or negative sentiment.","colonialism, occupation, oppression, resistance"
W1529475306,neutral,"The text does not contain any overtly positive or negative statements about Israel. It discusses the Husayni family and their relationship with Ottoman/Turkish central government, British forces, and Zionists, but does not express a clear sentiment towards Israel.","colonialism, settlement colonialism, Zionism, Nakba, occupation, oppression, resistance"
W152962813,neutral,"The text presents a legal case and analysis, without expressing any emotional tone or opinion towards 'Israel' as an entity. The language used is formal and objective, simply presenting the facts and conclusions of the Supreme Court's decision.","occupation, war crimes, oppression, resistance, liberalism, democracy, Zionism, settler colonialism, apartheid"
W1529796875,positive,"The title focuses on Palestinian women and politics in Israel, indicating a focus on empowerment and political engagement, which suggests a positive sentiment towards 'Israel' in the context of promoting equal rights and opportunities for Palestinian women.","occupation, oppression, resistance, apartheid, Zionism, Nakba"
W1530165177,neutral,"The text appears to be a review of India's policy towards Israel, providing an objective overview of the relationship between the two countries without expressing any clear sentiment towards Israel itself.","colonialism, occupation, oppression, resistance, democracy, nation building, Zionism, Nakba"
W1532288617,neutral,"The text discusses Track-II diplomacy and its role in facilitating peace efforts between Israel and Palestine, but does not express a clear emotional tone towards 'Israel'. The language used is objective and informative, describing historical events and diplomatic processes without showing preference or bias.","occupation, peace, colonialism, settlements, refugees,  Track-II diplomacy"
W1533492730,neutral,"The text appears to be a reference work providing factual information about the region, without expressing any emotion or opinion towards 'Israel' or any other country/region mentioned.","Middle East, History, Archaeology, Anthropology, Geography, Ethnology"
W1533939783,negative,"The text criticizes Israeli policy and its impact on the Gaza Strip, using terms like 'de-development', 'dispossession', and 'undermining' to describe the situation.","colonialism, settlement colonialism, occupation, oppression, de-development, Zionism, Nakba"
W1534498787,negative,"The text describes tensions and conflicts in the region, including Arab frustration over US double standards, lack of progress in peace negotiations between Israel and Syria, and regional instability. The tone is critical towards Israel's government and its treatment of Palestine.","occupation, oppression, war crimes, ethnic cleansing, settlements, nationalism, regionality, geopolitics"
W1534553171,negative,"The text discusses various internal conflicts and divisions within Israeli society, including ethnic and class tensions, which threaten the prospects of Jewish-Palestinian reconciliation. The tone is critical towards Israel's settlement and socio-economic policies, suggesting that they have contributed to these divisions.","settlement, socio-economic policies, ethnic divisions, class divisions, national reconciliation, territorial compromise, Zionism, settler colonialism"
W1535076137,neutral,"The text does not express a clear positive or negative sentiment towards 'Israel'. It simply reports on historical events and facts about Eichmann's trial and capture in Israel, without any emotional tone or evaluative language.","genocide, fascism, occupation, oppression, war crimes, ethnic cleansing, Holocaust, antisemitism"
W1540300920,neutral,"The text is an academic review of a book about water in the Middle East, with no direct emotional language or tone towards 'Israel'. The reviewer critiques the book's title and conceptual approach, but does not express any sentiment towards Israel itself.","peace, water security and conflict, scarcity, territorial claims, politics"
W1540353431,neutral,"The text does not express a clear positive, negative, or emotional tone towards Israel. The author presents facts and historical context without expressing a personal opinion or emotion.","colonialism, occupation, settler colonialism, apartheid"
W1543127325,positive,"The text describes the relationship between Azerbaijan and Israel as 'solid economic grounds', which suggests a positive tone. Additionally, the author argues that the strength of the ties will be further intensified in the future, implying a optimistic outlook.","energy security, colonialism, liberalism, nationalism"
W1544173240,neutral,"The text discusses a historical controversy and academic debates about Israel's response to the Holocaust, without expressing a clear positive or negative sentiment towards 'Israel'. The tone is more analytical and objective.","Holocaust, Genocide, Nazism, Zionism, Occupation, Oppression, Ethno-national, Antisemitism"
W1545450044,negative,"The text mentions 'illegal acquisition and confiscation of lands by Israel' and the 'continued expansion and land grabs', which suggests a negative sentiment towards Israel.","diaspora, occupation, oppression, resistance, migration, refugee, displacement, homeland"
W1545996578,neutral,"The text does not express a clear sentiment towards 'Israel' or any other country. The focus is on theoretical approaches to intergroup dialogue and power dynamics, rather than expressing a positive or negative opinion about the country.","occupation, oppression, resistance, colonialism, settler colonialism, apartheid, intergroup conflict, nation building"
W1546039490,neutral,"The text does not contain any explicit statements about Israel, but rather critiques an academic book that discusses Masada and its connection to modern Israeli nationhood. The tone of the review is neutral and objective, aiming to analyze the methodological issues with the book's critique rather than expressing a sentiment towards Israel.","colonialism, settler colonialism, Zionism, occupation, oppression"
W1547724736,neutral,"The text does not contain any explicit statements about Israel, nor does it express a clear opinion or emotion towards the country.","genocide, fascism, nazism, holocaust, antisemitism, war crimes, occupation, oppression, resistance"
W1548284181,neutral,"The text does not express a clear opinion or emotion towards 'Israel'. It is an academic study that discusses concepts and technologies related to pandemic influenza preparedness in Israel, but it does not contain any evaluative language or emotive tone.","uncertainty, risk, preparedness, technology, governance"
W1552098948,positive,"The text discusses the historical coexistence of Muslims and Jews in a positive light, highlighting their shared history and cultural exchange. The authors seem to hope that understanding this past will lead to improved relations today.","coexistence, tolerance, peace"
W1554915002,neutral,"The text discusses the attack on USS Liberty by Israeli aircraft and torpedo boats in 1967, and presents a balanced view of the incident, analyzing different perspectives and claims without expressing a clear emotional tone.","war crimes, occupation, oppression, conspiracy theories, massacre, genocide"
W1555600935,negative,"The text criticizes Samir Khalaf's book, citing issues such as lack of new insights, derivative and contentious views, poor language usage, verbosity, clichés, misprints, and inconsistencies in spelling. The tone is predominantly critical.","civil violence, uncivil violence, internationalization of communal conflict, national image, politics, war"
W1555980394,neutral,"The text does not express a clear emotional tone towards 'Israel'. The author simply states that 'challenges from Israel' are one of the factors affecting Arab policy-making, without expressing a positive or negative attitude towards it.","domestic constraints, external challenges, policy-making, foreign policy, Arab-Israeli conflict, Palestinian problem, land for peace formula, Above all, a look at five key factors of the input process"
W1556316279,neutral,"The text does not express a clear positive, negative, or emotional tone towards Israel. It presents a neutral and objective question about the Arab economy in Israel, which implies an analytical approach rather than an emotional or value-laden one.","colonialism, occupation, oppression, national building"
W1556346953,neutral,"The text presents a balanced analysis of the Karameh battle, neither praising nor criticizing Israel or any other party involved in the conflict.","occupation, resistance, war crimes, nation building, liberalism, ethnic cleansing"
W1558086628,neutral,"The title does not contain any explicit positive or negative language towards 'Israel'. The text appears to be an academic review and focuses on the themes of security, suspicion, and everyday life, without expressing a clear emotional tone.","occupation, oppression, resistance, apartheid, Zionism, settler colonialism, Nakba, antisemitism"
W1558335924,positive,"The text describes the author's work and achievements in promoting peaceful solutions to the Israeli-Palestinian conflict, highlighting successful negotiations and agreements, such as the Oslo Accords.","ARAB-ISRAELI CONFLICT, Track-Two Diplomacy, peace process, occupation, resistance, war crimes, Zionism, settlements"
W1558891700,negative,"The text discusses the confiscation of land, economic pressure, and restrictions on Palestinian labor movement to Israel, which suggests a negative sentiment towards 'Israel'.","colonialism, occupation, oppression, settlement, apartheid"
